"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.33766789277067e-242,0.338224786493538,0.998,0.984,4.22650355012938e-238,"BC001","SPCS1"
2.06641073453116e-178,0.773246403780492,0.635,0.476,3.73607060803234e-174,"BC001","SOX12"
3.7291050224214e-170,-0.326418204384613,0.978,0.989,6.7422218805379e-166,"BC001","MAP3K4"
3.11380347288576e-142,-0.520223777413857,0.682,0.82,5.62975667897746e-138,"BC001","SLC12A2"
2.35386066715684e-141,-0.320375730695285,0.987,0.989,4.25578008621956e-137,"BC001","IPO5"
3.0655276984799e-122,0.241378561765101,0.994,0.985,5.54247407885165e-118,"BC001","COA1"
5.98823366832035e-85,0.123725637015521,1,1,1.08267264723232e-80,"BC001","MAPK1IP1L"
6.36807453107727e-75,-0.113034851689815,1,1,1.15134787521877e-70,"BC001","EEF1B2"
1.63058274317406e-70,0.203027125366672,0.985,0.978,2.9480935996587e-66,"BC001","TUBA1B"
1.89050996342036e-66,-0.179338840188799,0.998,0.998,3.41804201386401e-62,"BC001","RRM2"
1.09401038579544e-60,-0.1402892016781,0.999,0.999,1.97797077751815e-56,"BC001","SLC9A3R1"
3.12104623573674e-60,-0.109599646551418,1,1,5.64285159421203e-56,"BC001","NONO"
2.13385512995721e-59,-0.632831910743343,0.257,0.382,3.85801007496264e-55,"BC001","POM121"
5.05496387416852e-59,-0.207957960326914,0.968,0.976,9.13937468449668e-55,"BC001","RAB5IF"
5.54235414254212e-52,0.0589838945624033,1,1,1.00205762897162e-47,"BC001","LDHB"
1.47898551940687e-48,-0.132564946670761,0.995,0.997,2.67400581908761e-44,"BC001","MED25"
6.14916362561441e-43,-0.317170005140256,0.556,0.664,1.11176878351109e-38,"BC001","MARS"
7.39529101941528e-43,-0.0982495418973379,1,1,1.33706861631028e-38,"BC001","HNRNPA3"
1.766343386561e-42,0.101371608407278,1,1,3.19354884290228e-38,"BC001","BRD4"
4.6721113841523e-39,0.168326981244674,0.945,0.931,8.44717738254737e-35,"BC001","ITSN1"
6.01523256591322e-38,-0.102618982234971,0.996,0.997,1.08755404791711e-33,"BC001","DNMT1"
1.1739788306062e-37,0.114254871695735,0.998,0.997,2.12255372573602e-33,"BC001","ISCU"
7.46384873517979e-36,-0.0750941810624415,1,1,1.34946385132051e-31,"BC001","NME1"
7.84273557426368e-36,-0.175509541682006,0.908,0.935,1.41796659182687e-31,"BC001","GIPC1"
3.54158492092945e-35,0.109374296769654,0.994,0.995,6.40318553704045e-31,"BC001","SLC25A5"
4.32312002948847e-35,0.0905153254275981,1,1,7.81620101331516e-31,"BC001","APEX1"
1.12359434381752e-34,0.0607743655433177,1,1,2.03145857362208e-30,"BC001","SNRPN"
3.76174330777652e-34,-0.330387245131039,0.464,0.564,6.80123190045994e-30,"BC001","ABHD2"
6.29592053449012e-32,-0.0538917218255515,1,1,1.13830243263581e-27,"BC001","MARCKSL1"
1.18854141753527e-31,0.107426617727654,0.997,0.997,2.14888288290377e-27,"BC001","KPNB1"
6.67236976607588e-30,-0.143151335033543,0.968,0.979,1.20636445370652e-25,"BC001","ITPR3"
9.44996273754853e-29,-0.204505185365297,0.762,0.817,1.70855326294877e-24,"BC001","NDUFAF3"
1.14668150081563e-28,0.266806944993819,0.667,0.611,2.07320015347466e-24,"BC001","TLK2"
4.19631523045909e-28,0.103965298053911,0.997,0.995,7.58693793667003e-24,"BC001","STMN1"
3.45455227477676e-27,-0.0885124955063212,0.999,0.999,6.24583051279638e-23,"BC001","UQCR10"
4.15057482731737e-27,-0.119590279944733,0.981,0.989,7.50423928778981e-23,"BC001","PAIP1"
1.27810237793272e-26,-0.15234555540329,0.959,0.972,2.31080909930236e-22,"BC001","BCOR"
1.44803749348155e-26,-0.0772145833121753,1,1,2.61805178821464e-22,"BC001","FKBP3"
