"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,-0.635888712522642,0.68,0.817,0,"A-A07","MT-ND4"
4.28264285277193e-292,-0.535501033327006,0.706,0.826,7.76528802064607e-288,"A-A07","MT-CYB"
8.07200838588693e-284,-0.448818561944914,0.869,0.932,1.46361656052902e-279,"A-A07","MT-ATP6"
5.82341940643323e-278,-0.390179834546315,0.911,0.953,1.05590240677447e-273,"A-A07","MT-ND3"
1.43031819888675e-274,-0.429424478872611,0.92,0.96,2.59345295822146e-270,"A-A07","MT-CO1"
1.46465191561922e-193,-0.354001815576737,0.888,0.94,2.65570685340076e-189,"A-A07","MT-CO2"
1.087238120638e-129,-0.338118373330035,0.693,0.787,1.97138016034081e-125,"A-A07","MT-CO3"
3.41193598396279e-91,-0.162086064904868,0.918,0.946,6.18652232612134e-87,"A-A07","ARPC1B"
6.66915804422829e-90,-0.445077351813847,0.252,0.346,1.20925173657947e-85,"A-A07","MT-ND5"
7.53385292009026e-79,-0.158021875269971,0.896,0.927,1.36603821147077e-74,"A-A07","S100A11"
2.09499902142875e-71,-0.345401985252831,0.387,0.48,3.7986522256546e-67,"A-A07","MT-ND6"
5.30790127234561e-70,0.148897351431056,0.977,0.979,9.62428658701706e-66,"A-A07","SNRPB2"
1.2902909829735e-67,-0.216036211796882,0.624,0.701,2.33955561032755e-63,"A-A07","PRMT1"
2.23817425114106e-63,0.18589992378173,0.838,0.831,4.05825755216898e-59,"A-A07","SLC25A5"
3.93089760177126e-61,-0.2202836560088,0.553,0.635,7.12750353153164e-57,"A-A07","UBL5"
3.57585976983517e-60,-0.615490641978877,0.087,0.141,6.48374893466513e-56,"A-A07","PTGES3"
2.59344610462971e-58,-0.203052213290288,0.619,0.694,4.70243647691459e-54,"A-A07","PHB1"
2.71498962033687e-51,-0.220268902091432,0.485,0.566,4.92281917959481e-47,"A-A07","TMEM259"
2.80122290012439e-50,-0.501117815488317,0.105,0.156,5.07917736250554e-46,"A-A07","MT-ND1"
2.97245167434272e-50,-0.256197518716359,0.349,0.425,5.38964937591822e-46,"A-A07","C4orf48"
1.21023742928882e-49,-0.230541793063065,0.363,0.442,2.19440250678649e-45,"A-A07","XRCC6"
2.28514300223117e-46,-0.19450171396846,0.501,0.58,4.14342129164556e-42,"A-A07","TMEM214"
4.6424209814717e-44,-0.246507083070279,0.268,0.337,8.41763772360448e-40,"A-A07","CC2D1B"
3.13068732700573e-43,-0.34041684353051,0.171,0.229,5.67656226132679e-39,"A-A07","MT-ND2"
2.1437424884514e-41,-0.214792988246262,0.351,0.424,3.88703388006008e-37,"A-A07","COPS9"
1.29945625263416e-39,-0.200275535075938,0.382,0.452,2.35617407727626e-35,"A-A07","ANKRD54"
1.50536117653097e-38,-0.080391244315217,0.96,0.973,2.72952088528596e-34,"A-A07","ATP5F1B"
8.22589050036427e-38,-0.123706829516086,0.774,0.825,1.49151846552605e-33,"A-A07","HNRNPA3"
3.1563374671785e-37,-0.176260025555811,0.442,0.513,5.72307109548805e-33,"A-A07","COMMD4"
6.87961720493664e-37,-0.102803448667508,0.868,0.905,1.24741219159911e-32,"A-A07","CSDE1"
2.01374491656985e-36,-0.235667141088686,0.25,0.31,3.65132228272446e-32,"A-A07","TNRC18"
3.08389556910134e-36,-0.253875141701241,0.268,0.327,5.59171944589456e-32,"A-A07","NPPC"
1.1447988641318e-35,-0.166652449920479,0.478,0.548,2.07574930044378e-31,"A-A07","MICOS13"
1.42643037383231e-35,-0.141741445966538,0.609,0.677,2.58640355383274e-31,"A-A07","TAGLN2"
5.00284427418075e-35,-0.113056963090903,0.798,0.849,9.07115723794454e-31,"A-A07","BSG"
1.73597180044315e-33,-0.13854533901297,0.668,0.728,3.14766406856352e-29,"A-A07","TAP2"
2.42354028659899e-33,-0.214981368653612,0.236,0.293,4.39436324766128e-29,"A-A07","LSM12"
4.29628433274994e-33,-0.102453598982744,0.857,0.895,7.79002275214219e-29,"A-A07","PSMB2"
1.72882796902064e-32,-0.146480858578469,0.568,0.634,3.13471087342822e-28,"A-A07","CENPX"
7.53706864944803e-32,-0.100398352505052,0.854,0.891,1.36662128751792e-27,"A-A07","CST3"
8.92243083489562e-32,-0.175869296329598,0.409,0.475,1.61781515898327e-27,"A-A07","KIAA2013"
2.72432667926154e-31,-0.140403378542576,0.497,0.565,4.93974913483703e-27,"A-A07","YIF1A"
